geopol_unit,mean,sd,min,max,rsa,quantile_0.25,quantile_0.50,quantile_0.75,quantile_0.90
Nevada,0.006200476509912152,0.029551120987357245,3.345920122228563e-4,0.7100390195846558,0.04866486606894247,7.953110034577549e-4,0.0016882650088518858,0.006318570114672184,0.009361519198864698
New Hampshire,0.07860231937283119,0.1756194983235857,4.3167200055904686e-4,0.910161018371582,0.2697840794214469,0.0016355900443159044,0.00632824981585145,0.015884200111031532,0.38870680928230283
New Jersey,0.7758549467744971,0.20076718463223703,0.33265501260757446,0.9880369901657104,1,0.5890272706747055,0.8498655259609222,0.943093478679657,0.9846180081367493
New Mexico,0.03923883134450527,0.09387514494694034,3.48956004017964e-4,0.9869040250778198,0.5476162115147334,0.008791700005531311,0.01484030019491911,0.019375700503587723,0.06390250176191328
New York,0.18628163013352247,0.2679736219514204,3.733669873327017e-4,0.9880380034446716,0.539493217302278,0.005536950193345547,0.014902399852871895,0.388588011264801,0.5381900072097778
North Carolina,0.5391772547791086,0.20957063270382473,0.0039236401207745075,0.9880380034446716,0.9985729907053035,0.41167598962783813,0.4896799921989441,0.684997022151947,0.8729248046875
North Dakota,7.204083157703573e-4,5.986559438742508e-4,3.405759925954044e-4,0.0077397702261805534,0,4.2447299347259104e-4,4.7566500143148005e-4,6.904589827172458e-4,0.0013658900279551744
Ohio,0.55134207723085,0.17468642685193866,0.04948430135846138,0.9880369901657104,1,0.4210369884967804,0.49890801310539246,0.6692045032978058,0.8573706150054935
Oklahoma,0.4154910085962967,0.2443417539492752,0.007044559810310602,0.9878360033035278,0.9997570334946683,0.34861700236797333,0.45115599036216736,0.5283640027046204,0.7020255923271179
Oregon,0.07041125090251106,0.1585773247558294,3.323809942230582e-4,0.987966001033783,0.37350178086713204,0.0012789099710062146,0.007660049945116043,0.026092500425875187,0.32912498712539673
Pennsylvania,0.43670250557805296,0.27200986859296555,0.0016358799766749144,0.9880380034446716,0.9342226413001276,0.3023644983768463,0.4503760039806366,0.5653670132160187,0.824944019317627
Rhode Island,0.6522216649772886,0.1893651104209784,0.37778499722480774,0.9712280035018921,1,0.47570275515317917,0.5910744965076447,0.8289499878883362,0.9426149725914001
South Carolina,0.5108029351284737,0.16377028128075877,0.006493879947811365,0.9879980087280273,0.9992888636040392,0.41100598871707916,0.4776670038700104,0.5644710063934326,0.7100665807723999
South Dakota,0.02947573842000411,0.09611976630547195,3.4301000414416194e-4,0.8237919807434082,0.16750745947276138,8.520604897057638e-4,0.0016843100311234593,0.007196829887107015,0.025803429633379026
Tennessee,0.5092663784460199,0.17485089242335242,0.005300419870764017,0.9879909753799438,0.9999042451324609,0.40078651160001755,0.4796139895915985,0.5683467537164688,0.7126610279083252
Texas,0.21813830961859704,0.24640934050441118,3.3964001340791583e-4,0.9868950247764587,0.7336926936577519,0.013186949770897627,0.05019909888505936,0.4491479992866516,0.5605700016021729
Utah,0.04788596384372301,0.15136273677165993,3.3745801192708313e-4,0.9879149794578552,0.2041891777560221,0.0010188099695369601,0.0053382450714707375,0.01039909990504384,0.05041829124093056
Vermont,0.00601794243936393,0.015302368920669331,4.384519997984171e-4,0.4335150122642517,0.08708463328876344,9.455925173824653e-4,0.0017031850293278694,0.005922970129176974,0.011432250030338764
Virginia,0.5182148134578992,0.21003639148386188,0.007876019924879074,0.9880380034446716,0.9997111647936141,0.4097987413406372,0.48262299597263336,0.6665480136871338,0.8192600011825562
Washington,0.11701695856038388,0.20595476623595654,3.2492700847797096e-4,0.9795770049095154,0.5168949893479051,0.001624657481443137,0.015565500129014254,0.06794930249452591,0.4576841086149216
West Virginia,0.24882713710383644,0.23299860883186585,0.0014311999548226595,0.9879710078239441,0.9746326438945094,0.047486599534749985,0.09719649702310562,0.4493510127067566,0.5678634941577911
Wisconsin,0.05276276408800621,0.1340177383834252,3.686739946715534e-4,0.9749699831008911,0.3702290904357636,0.001364520052447915,0.006172330118715763,0.01670582452788949,0.09854640066623688
Wyoming,0.002801623771067313,0.010836460427901467,3.2665199250914156e-4,0.4377230107784271,0.0386447764010159,3.923960030078888e-4,5.25877985637635e-4,0.0013557400088757277,0.0059956339187920114
