name,longitude,latitude,prov,date,key
"Lycorma delicatula (White, 1845)",-76.031037,39.635565,gbif,2020-06-04,2634331302
"Lycorma delicatula (White, 1845)",-75.212172,40.275556,gbif,2020-06-04,2634342322
"Lycorma delicatula (White, 1845)",-75.245858,39.994613,gbif,2020-06-01,2634403005
"Lycorma delicatula (White, 1845)",-75.306503,40.116425,gbif,2020-06-01,2634422951
"Lycorma delicatula (White, 1845)",-76.071693,40.098168,gbif,2020-06-04,2634455363
"Lycorma delicatula (White, 1845)",-75.228775,40.071761,gbif,2020-06-01,2634466927
"Lycorma delicatula (White, 1845)",-75.803901,39.843248,gbif,2020-06-02,2634467102
"Lycorma delicatula (White, 1845)",-75.328055,39.9875,gbif,2020-06-04,2634488310
"Lycorma delicatula (White, 1845)",-75.234286,40.08025,gbif,2020-06-04,2634541350
"Lycorma delicatula (White, 1845)",-75.962295,39.770601,gbif,2020-06-03,2634563140
"Lycorma delicatula (White, 1845)",-75.164636,39.942418,gbif,2020-06-02,2634586078
"Lycorma delicatula (White, 1845)",-74.641883000000007,40.658917,gbif,2020-06-06,2641290915
"Lycorma delicatula (White, 1845)",-74.906542,40.0098,gbif,2020-06-06,2641297880
"Lycorma delicatula (White, 1845)",-75.309228,40.267575,gbif,2020-06-06,2641298932
"Lycorma delicatula (White, 1845)",-75.312333,40.033117,gbif,2020-06-07,2641318113
"Lycorma delicatula (White, 1845)",-75.189912,40.034817,gbif,2020-06-04,2641335561
"Lycorma delicatula (White, 1845)",-75.290405,40.123661,gbif,2020-06-08,2641337240
"Lycorma delicatula (White, 1845)",-75.124144,40.103214,gbif,2020-06-02,2641346555
"Lycorma delicatula (White, 1845)",-75.17948,39.937134,gbif,2020-06-07,2641355121
"Lycorma delicatula (White, 1845)",-76.372955,40.06057,gbif,2020-06-05,2641371757
"Lycorma delicatula (White, 1845)",-75.190267,39.852825,gbif,2020-06-07,2641411163
"Lycorma delicatula (White, 1845)",-75.16973,39.96293,gbif,2020-06-07,2641413049
"Lycorma delicatula (White, 1845)",-75.926875,40.335648,gbif,2020-06-05,2641418715
"Lycorma delicatula (White, 1845)",-75.498327,39.774439,gbif,2020-06-07,2641419056
"Lycorma delicatula (White, 1845)",-75.708142,39.719886,gbif,2020-06-08,2641426331
"Lycorma delicatula (White, 1845)",-75.264988,40.670173,gbif,2020-06-10,2641451602
"Lycorma delicatula (White, 1845)",-75.450086,40.168159,gbif,2020-06-02,2641492935
"Lycorma delicatula (White, 1845)",-75.926875,40.335648,gbif,2020-06-06,2641496872
"Lycorma delicatula (White, 1845)",-75.114627,39.981868,gbif,2020-06-07,2641509022
"Lycorma delicatula (White, 1845)",-75.223612,40.356111,gbif,2020-06-06,2641534894
"Lycorma delicatula (White, 1845)",-74.826558,40.232721,gbif,2020-06-07,2641543089
"Lycorma delicatula (White, 1845)",-75.1516,40.107769,gbif,2020-06-11,2641559751
"Lycorma delicatula (White, 1845)",-75.066725,40.097893,gbif,2020-06-10,2641562611
"Lycorma delicatula (White, 1845)",-75.38929,40.164631,gbif,2020-06-10,2641577624
"Lycorma delicatula (White, 1845)",-75.5691,39.665845,gbif,2020-06-11,2641578695
"Lycorma delicatula (White, 1845)",-75.077119,40.517658,gbif,2020-06-11,2641603813
"Lycorma delicatula (White, 1845)",-75.232627,40.001343,gbif,2020-06-07,2641614384
"Lycorma delicatula (White, 1845)",-75.613195,39.796644,gbif,2020-06-13,2802533128
"Lycorma delicatula (White, 1845)",-75.306438,40.116431,gbif,2020-06-15,2802543289
"Lycorma delicatula (White, 1845)",-75.536944,39.825,gbif,2020-06-16,2802548205
"Lycorma delicatula (White, 1845)",-75.140772,39.927328,gbif,2020-06-13,2802562012
"Lycorma delicatula (White, 1845)",-75.558822,40.139878,gbif,2020-06-12,2802565064
"Lycorma delicatula (White, 1845)",-75.045215,40.005324,gbif,2020-06-12,2802571107
"Lycorma delicatula (White, 1845)",-76.893683,40.278072,gbif,2020-06-13,2802574275
