name,decimalLatitude,decimalLongitude
Ailanthus altissima,40.39726,-7.74194
Ailanthus altissima,32.910661,-96.624423
Ailanthus altissima,56.354497,16.411115
Ailanthus altissima,48.58097,7.760275
Ailanthus altissima,56.354482,16.44111
Ailanthus altissima,52.517029,13.401043
Ailanthus altissima,38.95617,-77.091683
Ailanthus altissima,32.722175,-109.105447
Ailanthus altissima,40.189124,44.498995
Ailanthus altissima,42.760301,-84.42811
Ailanthus altissima,49.480428,-119.574638
Ailanthus altissima,40.59685,-73.509649
Ailanthus altissima,36.0701,-86.875075
Ailanthus altissima,40.723676,-73.924058
Ailanthus altissima,41.044562,-71.959645
Ailanthus altissima,38.943001,-9.411234
Ailanthus altissima,40.734372,-74.064668
Ailanthus altissima,41.350143,-88.867854
Ailanthus altissima,49.86,6.15
Ailanthus altissima,36.271645,-83.273963
Ailanthus altissima,39.419497,-84.57477
Ailanthus altissima,40.680331,-73.512327
Ailanthus altissima,36.707438,-86.949596
Ailanthus altissima,49.340383,8.570837
Ailanthus altissima,52.493226,13.329871
Ailanthus altissima,33.552069,-81.730919
Ailanthus altissima,36.064431,-86.87922
Ailanthus altissima,38.783174,-77.073264
Ailanthus altissima,39.93657,-75.105754
Ailanthus altissima,41.363079,-73.815182
Ailanthus altissima,40.675632,-73.991909
Ailanthus altissima,37.528369,-77.454077
Ailanthus altissima,37.373498,-122.03885
Ailanthus altissima,40.800939,-73.926231
Ailanthus altissima,39.437033,-84.584717
Ailanthus altissima,34.791605,-87.63655
Ailanthus altissima,40.94838,-6.92539
Ailanthus altissima,43.161663,-79.231487
Ailanthus altissima,45.76957,4.86863
Ailanthus altissima,45.75419,3.09277
Ailanthus altissima,51.448495,-0.025653
Ailanthus altissima,42.296262,-83.73407
Ailanthus altissima,42.111655,-88.270336
Ailanthus altissima,40.070128,-74.822412
Ailanthus altissima,40.800304,-73.975014
Ailanthus altissima,40.278159,-7.515215
Ailanthus altissima,40.482718,-111.750414
Ailanthus altissima,34.144788,-118.165515
Ailanthus altissima,39.273753,-76.600091
Ailanthus altissima,36.59304,-4.638438
Ailanthus altissima,34.092178,-118.003967
Ailanthus altissima,37.580635,-122.37479
Ailanthus altissima,40.19529,-8.40423
Ailanthus altissima,40.689009,-73.509747
Ailanthus altissima,42.752686,-73.681403
Ailanthus altissima,42.635208,11.667908
Ailanthus altissima,48.84363,2.34253
Ailanthus altissima,40.862151,-73.932455
Ailanthus altissima,40.419282,-76.104978
Ailanthus altissima,38.881337,-76.9692
Ailanthus altissima,36.102858,-86.55095
Ailanthus altissima,37.049185,-122.063223
Ailanthus altissima,42.719947,-73.69037
Ailanthus altissima,40.736112,-73.942141
Ailanthus altissima,41.139917,-83.161834
Ailanthus altissima,44.198433,5.948588
Ailanthus altissima,37.981408,-121.860795
Ailanthus altissima,40.771334,-73.952227
Ailanthus altissima,40.729639,-73.932272
Ailanthus altissima,40.76832,-73.984426
Ailanthus altissima,33.811718,-117.768787
Ailanthus altissima,37.006461,-76.657433
Ailanthus altissima,42.283578,-83.743987
Ailanthus altissima,36.180881,-86.658608
Ailanthus altissima,40.313763,-74.62558
Ailanthus altissima,52.477962,13.385734
Ailanthus altissima,40.525774,-76.216636
Ailanthus altissima,40.6894,-73.50984
