Continent,Country,Region,Sub-Region,Latitude,Longitude,Decimal Lat,Decimal Long
Americas,United States,Michigan,Leelanau Peninsula,45.05°N,85.655°W,45.05,-85.655
Americas,United States,Michigan,Old Mission Peninsula,44.87806°N,85.53139°W,44.87806,-85.53139
Americas,United States,Minnesota,Alexandria Lakes,45.967°N,95.383°W,45.967,-95.383
Americas,United States,Minnesota,Upper Mississippi Valley,47.253°N,95.212°W,47.253,-95.212
Americas,United States,Missouri,Augusta,38°34′20″N,90°52′55″W,38.57222222,-90.88194444
Americas,United States,Missouri,Hermann,38°41′57″N,91°26′21″W,38.69916667,-91.43916667
Americas,United States,Missouri,Ozark Highlands,36.568447,-93.099533,36.568447,-93.099533
Americas,United States,Missouri,Ozark Mountains,36.568447,-93.099533,36.568447,-93.099533
Americas,United States,Missouri,Ste. Genevieve,37°58′37″N,90°2′55″W,37.97694444,-90.04861111
Americas,United States,New Jersey,Outer Coastal Plain,,,39.738013,-74.885968
Americas,United States,New Jersey,Warren Hills,40°N,74.5°W,40.862943,-75.015977
Americas,United States,New Mexico,Albuquerque,35°06′39″N,106°36′36″W,35.11083333,-106.61
Americas,United States,New Mexico,Deming,32°15′40″N,107°45′21″W,32.26111111,-107.7558333
Americas,United States,New Mexico,La Union,31.950709,-106.661755,31.950709,-106.661755
Americas,United States,New Mexico,Las Cruces,32°18′52″N,106°46′44″W,32.31444444,-106.7788889
Americas,United States,New Mexico,Santa Fe,35°40′2″N,105°57′52″W,35.66722222,-105.9644444
Americas,United States,New Mexico,Taos,36.393979°N,105.576705°W,36.393979,-105.576705
Americas,United States,New York,Eastern Long Island,40°48′N,73°18′W,40.8,-73.3
Americas,United States,New York,Finger Lakes,42.667°N,76.833°W,42.667,-76.833
Americas,United States,New York,Hudson River Valley,42.3222951,-76.2545353,42.3222951,-76.2545353
Americas,United States,New York,Lake Erie Region,42.171009,-80.069237,42.171009,-80.069237
Americas,United States,New York,Niagara Escarpment,43.32°N,78.79°W,43.32,-78.79
Americas,United States,North Carolina,Crest of the Blue Ridge Henderson County,,,35.343972,-82.39792
Americas,United States,North Carolina,Haw River Valley,,,36.1519,-79.272697
Americas,United States,North Carolina,Yadkin Valley/Swan Creek,,,36.172071,-80.478398
Americas,United States,Ohio,Grand River Valley,41.7603208°N,81.2806588°W,41.7603208,-81.2806588
Americas,United States,Ohio,Isle St. George,41.71484°N,82.819345°W,41.71484,-82.819345
Americas,United States,Ohio,Kanawha River Valley,38.583°N,81.833°W,38.583,-81.833
Americas,United States,Ohio,Loramie Creek,40.18894°N,84.24217°W,40.18894,-84.24217
Americas,United States,Ohio,Ohio River Valley,41.87278°N,77.87500°W,41.87278,-77.875
Americas,United States,Oklahoma,,35.5°N,98°W,35.5,-98
Americas,United States,Oregon,Applegate Valley,42.32°N,123.29°W,42.32,-123.29
Americas,United States,Oregon,Columbia Valley (Oregon and Washington),47°7′16″N,119°17′18″W,47.12111111,-119.2883333
Americas,United States,Oregon,Hood River County,45.51750°N,121.64944°W,45.5175,-121.64944
Americas,United States,Oregon,Rogue Valley,42.440124°N,122.926154°W,42.440124,-122.926154
Americas,United States,Oregon,Umpqua Valley,43.26806°N,123.44611°W,43.26806,-123.44611
Americas,United States,Oregon,Willamette Valley,44°54′N,123°06′W,44.9,-123.1
Americas,United States,Oregon,Walla Walla Valley  (Oregon and Washington),46°N,118°W,46,-118
Americas,United States,Pennsylvania,Central Delaware Valley,40.449°N,74.896°W,40.449,-74.896
Americas,United States,Pennsylvania,Cumberland Valley,39°56′N,77°43′W,39.93333333,-77.71666667
Americas,United States,Pennsylvania,Erie County,42.10°N,80.10°W,42.1,-80.1
Americas,United States,Pennsylvania,Lancaster County,40.04°N,76.25°W,40.04,-76.25
Americas,United States,Pennsylvania,Lehigh County,40.61°N,75.59°W,40.61,-75.59
Americas,United States,Tennessee,Appalachian High Country,,,35.78753,-84.346099
Americas,United States,Tennessee,Mississippi Delta,,,35.305357,-89.731169
Americas,United States,Texas,Bell Mountain,30.424799,-98.728804,30.424799,-98.728804
Americas,United States,Texas,Davis Mountains,30°38′N,104°10′W,30.63333333,-104.1666667
Americas,United States,Texas,Escondido Valley,33.125369,-117.075341,33.125369,-117.075341
Americas,United States,Texas,Fredericksburg,30°16′27″N,98°52′19″W,30.27416667,-98.87194444
Americas,United States,Texas,High Plains,33°N,102°W,33,-102
Americas,United States,Texas,Texas Hill Country,30°10′27″N,99°03′55″W,30.17416667,-99.06527778
Americas,United States,Virginia,Monticello,38°00′37.01″N,78°27′08.28″W,38.01028056,-78.4523
Americas,United States,Virginia,North Fork of Roanoke,37.3767°N,80.331°W,37.3767,-80.331
Americas,United States,Virginia,Northern Neck George Washington Birthplace,38.184915,-76.925025,38.184915,-76.925025
Americas,United States,Virginia,Rocky Knob,36.798°N 80.375°W,80.375°W,36.798,-80.375
Americas,United States,Virginia,Shenandoah Valley,38.483°N,78.850°W,38.483,-78.85
Americas,United States,Virginia,Virginia's Eastern Shore,37.49°N,75.898°W,37.49,-75.898
Americas,United States,Washington,Columbia Gorge,45.70472°N,121.79167°W,45.70472,-121.79167
Americas,United States,Washington,Columbia Valley,51.033°N,116.617°W,51.033,-116.617
Americas,United States,Washington,Horse Heaven Hills,46°08′N,119°52.05′W,46.13333333,-119.8680556
Americas,United States,Washington,Naches Heights,46°37′41″N,120°37′20″W,46.62805556,-120.6222222
Americas,United States,Washington,Rattlesnake Hills,46°27′N,119°50′W,46.45,-119.8333333
Americas,United States,Washington,Red Mountain,46°16′34″N,119°27′14″W,46.27611111,-119.4538889
Americas,United States,Washington,Wahluke Slope,46.750°N,119.500°W,46.75,-119.5
Americas,United States,Washington,Walla Walla Valley,45.89833°N,118.30778°W,45.89833,-118.30778
Americas,United States,Washington,Yakima Valley,46°15′10″N,119°13′51″W,46.25277778,-119.2308333
Americas,United States,Washington,Puget Sound,47°36′N,122°24′W,47.6,-122.4
Americas,United States,West Virginia,Kanawha River Valley,,,37.740703,-81.252803
Americas,United States,Wisconsin,Lake Wisconsin,,,43.286597,-89.706022
Americas,United States,Wisconsin,Wisconsin Ledge,44.717655,-87.595224,44.717655,-87.595224
Americas,Venezuela,Carora,,10°34′09″N,70°15′42″W,10.56916667,-70.26166667
Europe,Albania,Berat,,40.700°N,19.950°E,40.7,19.95
Europe,Albania,Korça,,40.617°N,20.767°E,40.617,20.767
Europe,Albania,Leskovik,,40°9′N,20°36′E,40.15,20.6
Europe,Albania,Lezhë,,41.785051,19.645113,41.785051,19.645113
Europe,Albania,Përmet,,40.234639,20.354715,40.234639,20.354715
Europe,Albania,Shkoder,,42.067°N,19.500°E,42.067,19.5
Europe,Albania,Tirana County,,41.250°N,19.750°E,41.25,19.75
Europe,Armenia,Ararat Valley,,40.04°N,44.33°E,40.04,44.33
Europe,Armenia,Areni,,39°43′15″N,45°11′02″E,39.72083333,45.18388889
Europe,Armenia,Ijevan,,40°52′45″N,45°08′50″E,40.87916667,45.14722222
Europe,Austria,Burgenland,,47.500°N,16.417°E,47.5,16.417
Europe,Austria,Northeastern and eastern Lower Austria,Kamptal,48.585019,15.412425,48.585019,15.412425
Europe,Austria,Northeastern and eastern Lower Austria,Kremstal,48°25′N,15°37′E,48.41666667,15.61666667
Europe,Austria,Northeastern and eastern Lower Austria,Wachau,48°21′52″N,15°26′3″E,48.36444444,15.43416667
Europe,Austria,Northeastern and eastern Lower Austria,Wagram,48°18′N,16°34′E,48.3,16.56666667
Europe,Austria,Northeastern and eastern Lower Austria,Weinviertel,48.477906°N,16.513932°E,48.477906,16.513932
Europe,Austria,Southern Styria,,47.250°N,15.167°E,47.25,15.167
Europe,Austria,Vienna and surrounding area,,48°12′N,16°22′E,48.2,16.36666667
Europe,Azerbaijan,Baku,,40°23′43″N,49°52′56″E,40.39527778,49.88222222
Europe,Azerbaijan,Ganja,,40°40′58″N,46°21′38″E,40.68277778,46.36055556
Europe,Azerbaijan,Madrasa village of Shamakhi Rayon,,40°36′53″N,48°33′51″E,40.61472222,48.56416667
Europe,Azerbaijan,Tovuz and Shamkir,,40°59′32″N,45°37′44″E,40.99222222,45.62888889
Europe,Belgium,Côtes de Sambre et Meuse,,,,50.317608,4.195161
Europe,Belgium,Hagelandse wijn,,50.948014,4.755332,50.948014,4.755332
Europe,Belgium,Haspengouw,,50.75°N,5.3°E,50.75,5.3
Europe,Belgium,Heuvelland,,50°46′N,02°49′E,50.76666667,2.816666667
