name,latitude,longitude,prov,date,key
Ailanthus altissima (Mill.) Swingle,36.997626,-79.655661,gbif,2020-05-28,2634303142
Ailanthus altissima (Mill.) Swingle,43.392199,26.165262,gbif,2020-05-29,2634323339
Ailanthus altissima (Mill.) Swingle,38.599248,-90.216965,gbif,2020-05-13,2634363656
Ailanthus altissima (Mill.) Swingle,37.969217,-76.758472,gbif,2020-05-14,2634376605
Ailanthus altissima (Mill.) Swingle,38.147233,-78.257479,gbif,2020-05-27,2634387001
Ailanthus altissima (Mill.) Swingle,35.341495,-120.630118,gbif,2020-05-30,2634387761
Ailanthus altissima (Mill.) Swingle,43.215221,17.111805,gbif,2020-05-24,2634395335
Ailanthus altissima (Mill.) Swingle,31.762758,-95.627358,gbif,2020-05-27,2634396032
Ailanthus altissima (Mill.) Swingle,38.506889,-121.784898,gbif,2020-05-31,2634403751
Ailanthus altissima (Mill.) Swingle,40.509301,-74.726449,gbif,2020-05-25,2634412119
Ailanthus altissima (Mill.) Swingle,41.471795,-81.559822,gbif,2020-05-30,2634415512
Ailanthus altissima (Mill.) Swingle,36.501114,-80.523208,gbif,2020-05-26,2634422153
Ailanthus altissima (Mill.) Swingle,38.647728,-83.771362,gbif,2020-05-29,2634422229
Ailanthus altissima (Mill.) Swingle,35.945384,-78.743896,gbif,2020-05-30,2634432400
Ailanthus altissima (Mill.) Swingle,46.870135,15.50306,gbif,2020-05-31,2634440668
Ailanthus altissima (Mill.) Swingle,41.22233,-73.560466,gbif,2020-05-25,2634464615
Ailanthus altissima (Mill.) Swingle,35.398228,-80.600687,gbif,2020-05-31,2634473712
Ailanthus altissima (Mill.) Swingle,39.441073,-77.89026,gbif,2020-05-31,2634525677
Ailanthus altissima (Mill.) Swingle,41.988202,-93.878419,gbif,2020-05-31,2634535783
Ailanthus altissima (Mill.) Swingle,35.165858,136.982606,gbif,2020-05-31,2634558057
Ailanthus altissima (Mill.) Swingle,36.061775,-79.121691,gbif,2020-05-28,2634568055
Ailanthus altissima (Mill.) Swingle,41.819013,-8.417882,gbif,2020-05-31,2634584717
Ailanthus altissima (Mill.) Swingle,48.064317,14.79921,gbif,2020-05-27,2634600245
Ailanthus altissima (Mill.) Swingle,41.1,-112.01,gbif,2020-05-28,2634604153
Ailanthus altissima (Mill.) Swingle,39.694057,-74.95927,gbif,2020-05-18,2641403472
Ailanthus altissima (Mill.) Swingle,44.873781,-120.532873,gbif,2020-05-14,2641506497
Ailanthus altissima (Mill.) Swingle,37.385482,-80.076411,gbif,2020-05-30,2802601098
Ailanthus altissima (Mill.) Swingle,57.704751,11.964544,gbif,2020-05-01,2807982765
Ailanthus altissima (Mill.) Swingle,56.87969,16.651621,gbif,2020-05-29,2808211399
Ailanthus altissima (Mill.) Swingle,35.907208,-82.7844,gbif,2020-05-23,2814166568
Ailanthus altissima (Mill.) Swingle,41.570639,-93.618856,gbif,2020-05-24,2826379516
Ailanthus altissima (Mill.) Swingle,41.413228,-73.30882,gbif,2020-05-25,2850603605
Ailanthus altissima (Mill.) Swingle,38.071659,-120.5422,gbif,2020-05-13,2850986543
Ailanthus altissima (Mill.) Swingle,36.954524,-86.473236,gbif,2020-05-28,2851041489
Ailanthus altissima (Mill.) Swingle,-33.512254,150.926615,gbif,2020-05-20,2873616441
Ailanthus altissima (Mill.) Swingle,38.612088,-77.899461,gbif,2020-06-01,2634106949
Ailanthus altissima (Mill.) Swingle,41.368797,-72.896622,gbif,2020-06-01,2634108844
Ailanthus altissima (Mill.) Swingle,37.554115,-80.71119,gbif,2020-06-01,2634135908
